Country,code3,MaternalLeave,PaternalLeave,MaternalDeath,FemaleLaborForceTotal,FemaleLaborForceParticipationRate,FertilityRate
Turkmenistan,TKM,14 - 25 weeks,No paid leave,640,39.23017295,46.70000076,2.353
Turks and Caicos Islands,TCA,No data,No data,No data,No data,No data,No data
Uganda,UGA,Less than 14 weeks,Less than 3 weeks,44,48.95791676,75.90000153,5.964
Ukraine,UKR,52 weeks or more,14 weeks or more,2900,49.12436339,53,1.531
United Arab Emirates,ARE,Less than 14 weeks,No paid leave,5800,15.48061646,46.59999847,1.82
United Kingdom,GBR,26 - 51 weeks,14 weeks or more,6900,45.8901995,55.70000076,1.9
United States of America,USA,No paid leave,No paid leave,1800,46.29524326,56.79999924,1.8805
Uruguay,URY,Less than 14 weeks,Less than 3 weeks,3500,44.41449474,55.5,2.056
Uzbekistan,UZB,52 weeks or more,14 weeks or more,1100,39.56851496,47.90000153,2.53
Vanuatu,VUT,Less than 14 weeks,No paid leave,320,43.44202569,61.5,3.419
Venezuela,VEN,26 - 51 weeks,Less than 3 weeks,360,39.32384893,50.90000153,2.417
Vietnam,VNM,26 - 51 weeks,No paid leave,1100,48.43547106,72.80000305,1.768
Virgin Islands (U.S.),VIR,No data,No data,No data,45.85185185,54.40000153,1.8
Yemen,YEM,Less than 14 weeks,No paid leave,88,25.97366201,25.20000076,4.207
Zambia,ZMB,14 - 25 weeks,No paid leave,59,46.30970428,73.19999695,5.731
Zimbabwe,ZWE,14 - 25 weeks,No paid leave,53,49.36129556,83.19999695,3.564
