Type,Country Code,Series Code,Description
Country-Series,Lesotho (LSO),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Lithuania (LTU),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Eurostat, Statistics Department"
Country-Series,Luxembourg (LUX),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Eurostat, Council of Europe"
Country-Series,Latvia (LVA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Eurostat, Council of Europe"
Country-Series,"Macao SAR, China (MAC)","Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,St. Martin (French part) (MAF),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : U.S. Census Bureau
Country-Series,Morocco (MAR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Moldova (MDA),"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",Including Transnistria.
Country-Series,Moldova (MDA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources and note : United Nations World Population Prospects. Including Transnistria.
Country-Series,Madagascar (MDG),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Maldives (MDV),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Mexico (MEX),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Marshall Islands (MHL),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : DHS 2007; Economic Policy, Planning and Statistics Office; U.S. Census Bureau"
Country-Series,"Macedonia, FYR (MKD)","Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",The former Yugoslav Republic of Macedonia.
Country-Series,"Macedonia, FYR (MKD)","Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Mali (MLI),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
